psgc_code,reference_year,population,source
1380601138,2024,3217,2024 POPCEN (PSA)
1380601139,2024,440,2024 POPCEN (PSA)
1380601140,2024,568,2024 POPCEN (PSA)
1380601141,2024,553,2024 POPCEN (PSA)
1380601142,2024,1721,2024 POPCEN (PSA)
1380601143,2024,1421,2024 POPCEN (PSA)
1380601144,2024,893,2024 POPCEN (PSA)
1380601145,2024,1109,2024 POPCEN (PSA)
1380601146,2024,2724,2024 POPCEN (PSA)
1380601147,2024,2023,2024 POPCEN (PSA)
1380601148,2024,1827,2024 POPCEN (PSA)
1380601149,2024,1569,2024 POPCEN (PSA)
1380601150,2024,1922,2024 POPCEN (PSA)
1380601151,2024,1725,2024 POPCEN (PSA)
1380601152,2024,6016,2024 POPCEN (PSA)
1380601153,2024,1658,2024 POPCEN (PSA)
1380601154,2024,774,2024 POPCEN (PSA)
1380601155,2024,3292,2024 POPCEN (PSA)
1380601156,2024,1627,2024 POPCEN (PSA)
1380601157,2024,1409,2024 POPCEN (PSA)
1380601158,2024,2037,2024 POPCEN (PSA)
1380601159,2024,1595,2024 POPCEN (PSA)
1380601160,2024,1399,2024 POPCEN (PSA)
1380601161,2024,876,2024 POPCEN (PSA)
1380601162,2024,586,2024 POPCEN (PSA)
1380601163,2024,3850,2024 POPCEN (PSA)
1380601164,2024,1824,2024 POPCEN (PSA)
1380601165,2024,903,2024 POPCEN (PSA)
1380601166,2024,860,2024 POPCEN (PSA)
1380601167,2024,955,2024 POPCEN (PSA)
1380601168,2024,1154,2024 POPCEN (PSA)
1380601169,2024,1100,2024 POPCEN (PSA)
1380601170,2024,1245,2024 POPCEN (PSA)
1380601171,2024,1026,2024 POPCEN (PSA)
1380601172,2024,1038,2024 POPCEN (PSA)
1380601173,2024,1704,2024 POPCEN (PSA)
1380601174,2024,751,2024 POPCEN (PSA)
1380601175,2024,996,2024 POPCEN (PSA)
1380601176,2024,1312,2024 POPCEN (PSA)
1380601177,2024,3440,2024 POPCEN (PSA)
1380601178,2024,1324,2024 POPCEN (PSA)
1380601179,2024,1034,2024 POPCEN (PSA)
1380601180,2024,2160,2024 POPCEN (PSA)
1380601181,2024,2334,2024 POPCEN (PSA)
1380601182,2024,4072,2024 POPCEN (PSA)
1380601183,2024,8512,2024 POPCEN (PSA)
1380601184,2024,2126,2024 POPCEN (PSA)
1380601185,2024,3399,2024 POPCEN (PSA)
1380601186,2024,1492,2024 POPCEN (PSA)
1380601187,2024,717,2024 POPCEN (PSA)
1380601188,2024,872,2024 POPCEN (PSA)
1380601189,2024,1618,2024 POPCEN (PSA)
1380601190,2024,1282,2024 POPCEN (PSA)
1380601191,2024,754,2024 POPCEN (PSA)
1380601192,2024,1771,2024 POPCEN (PSA)
1380601193,2024,928,2024 POPCEN (PSA)
1380601194,2024,746,2024 POPCEN (PSA)
1380601195,2024,1261,2024 POPCEN (PSA)
1380601196,2024,1468,2024 POPCEN (PSA)
1380601197,2024,305,2024 POPCEN (PSA)
1380601198,2024,3840,2024 POPCEN (PSA)
1380601199,2024,2240,2024 POPCEN (PSA)
1380601200,2024,757,2024 POPCEN (PSA)
1380601201,2024,1166,2024 POPCEN (PSA)
1380601202,2024,1289,2024 POPCEN (PSA)
1380601203,2024,1037,2024 POPCEN (PSA)
1380601204,2024,2014,2024 POPCEN (PSA)
1380601205,2024,1932,2024 POPCEN (PSA)
1380601206,2024,1832,2024 POPCEN (PSA)
1380601207,2024,2487,2024 POPCEN (PSA)
1380601208,2024,1139,2024 POPCEN (PSA)
1380601209,2024,454,2024 POPCEN (PSA)
1380601210,2024,4704,2024 POPCEN (PSA)
1380601211,2024,3106,2024 POPCEN (PSA)
1380601212,2024,2102,2024 POPCEN (PSA)
1380601213,2024,2131,2024 POPCEN (PSA)
1380601214,2024,3037,2024 POPCEN (PSA)
1380601215,2024,1323,2024 POPCEN (PSA)
1380601216,2024,3147,2024 POPCEN (PSA)
1380601217,2024,2237,2024 POPCEN (PSA)
1380601218,2024,1025,2024 POPCEN (PSA)
1380601219,2024,339,2024 POPCEN (PSA)
1380601220,2024,1117,2024 POPCEN (PSA)
1380601221,2024,1290,2024 POPCEN (PSA)
1380601222,2024,3395,2024 POPCEN (PSA)
1380601223,2024,1760,2024 POPCEN (PSA)
1380601224,2024,1583,2024 POPCEN (PSA)
1380601225,2024,1078,2024 POPCEN (PSA)
1380601226,2024,2275,2024 POPCEN (PSA)
1380601227,2024,1201,2024 POPCEN (PSA)
1380601228,2024,1726,2024 POPCEN (PSA)
1380601229,2024,2697,2024 POPCEN (PSA)
1380601230,2024,1825,2024 POPCEN (PSA)
1380601231,2024,2376,2024 POPCEN (PSA)
1380601232,2024,1389,2024 POPCEN (PSA)
1380601233,2024,1871,2024 POPCEN (PSA)
1380601234,2024,724,2024 POPCEN (PSA)
1380601235,2024,2013,2024 POPCEN (PSA)
1380601236,2024,1264,2024 POPCEN (PSA)
1380601237,2024,603,2024 POPCEN (PSA)
1380601238,2024,223,2024 POPCEN (PSA)
1380601239,2024,390,2024 POPCEN (PSA)
